viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
1.8100000000000003e-05,319.17,5173000.0,Vapor,62103,2608.035271439534,-35.50486856362961,-2.359347117100195,-0.28376423413690677 m^-2 kg^-1 s^2 mol K,-0.18753832141755786 m^-2 kg^-1 s^2 mol K,-1467.5786046146027,-2137.820193813658,-1384.7873744487888,-714.5457852497335,0.0003834303971847892,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.6270322418471296e-05,3.115230113776512e-05,1.736192083700436e-05,1.1858362695945135,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
1.96e-05,319.17,6618000.0,Vapor,62103,3819.723574788135,-39.71706731949287,-3.3989058348949195,-0.4087944093312749 m^-2 kg^-1 s^2 mol K,-0.2701701205018009 m^-2 kg^-1 s^2 mol K,-2101.1692580861595,-3022.310184466151,-1937.4814091427402,-1016.3404827627483,0.00026179904917739133,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.6270322418471296e-05,3.115230113776512e-05,1.736192083700436e-05,1.1858362695945135,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
2.22e-05,319.19,8099000.0,Vapor,62103,5733.27782962725,-44.67232583602133,-4.978971680415635,-0.5988326496946276 m^-2 kg^-1 s^2 mol K,-0.3957654151705952 m^-2 kg^-1 s^2 mol K,-3043.2415932712506,-4284.504961790201,-2695.2669911183348,-1454.0036225993838,0.00017442029319291076,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.6271735100163164e-05,3.115327716349224e-05,1.7362854471061507e-05,1.1858096560702134,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
5.98e-05,319.25,13613000.0,Vapor,62103,15119.493053437858,-60.793117702275964,-13.041415112690455,-1.5685217086930794 m^-2 kg^-1 s^2 mol K,-1.0366279219437442 m^-2 kg^-1 s^2 mol K,-7153.245062210708,-8907.276377735338,-4743.804603008909,-2989.773287484281,6.613978368624078e-05,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.627597292554285e-05,3.115620505721874e-05,1.7365655228037044e-05,1.1857298355994204,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
3.32e-05,319.29,9826000.0,Vapor,62103,9845.715620878664,-52.47099934318703,-8.288548436067787,-0.9968832402915765 m^-2 kg^-1 s^2 mol K,-0.6588350011840437 m^-2 kg^-1 s^2 mol K,-4888.154349834843,-6544.881576054342,-3898.4309459022575,-2241.7037196827587,0.00010156702046922992,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.6278797959389986e-05,3.115815683351942e-05,1.7367522278362294e-05,1.18567663869823,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
2.64e-05,319.29,9024000.0,Vapor,62103,7669.449027180469,-48.63778068931757,-6.532212870692412,-0.7856446255985824 m^-2 kg^-1 s^2 mol K,-0.5192284882681796 m^-2 kg^-1 s^2 mol K,-3935.005099200484,-5413.113403923381,-3327.4431564400006,-1849.334851717104,0.00013038746283546674,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.6278797959389986e-05,3.115815683351942e-05,1.7367522278362294e-05,1.18567663869823,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
7.2e-05,319.3,17302000.0,Vapor,62103,16989.376361165527,-63.739107423998064,-15.02138012266691,-1.8066567633451422 m^-2 kg^-1 s^2 mol K,-1.1940101535557084 m^-2 kg^-1 s^2 mol K,-7984.297052682692,-9620.703841615426,-4824.377168447882,-3187.9703795151477,5.886031239415057e-05,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.6279504194968528e-05,3.11586447584916e-05,1.736798902582019e-05,1.1856633415655244,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
2.2700000000000003e-05,319.32,8287000.0,Vapor,62103,6048.746022791913,-45.36237196795564,-5.232687641588227,-0.629347665856784 m^-2 kg^-1 s^2 mol K,-0.41593263224954335 m^-2 kg^-1 s^2 mol K,-3191.8979223660895,-4476.836093535532,-2805.9342758235807,-1520.9961046541368,0.00016532352263294917,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.628091663866635e-05,3.115962058551485e-05,1.7368922502588296e-05,1.1856367498107203,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
4.61e-05,319.37,11025000.0,Vapor,62103,12359.165054897396,-56.49454866268237,-10.42725962031441,-1.2541110711771355 m^-2 kg^-1 s^2 mol K,-0.8288355503120319 m^-2 kg^-1 s^2 mol K,-5961.381742656874,-7724.721117783552,-4394.567212843738,-2631.227837717061,8.091161462430214e-05,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.6284447587736217e-05,3.1162060019383415e-05,1.7371256088649937e-05,1.1855702850655683,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
2.8e-05,319.38,9325000.0,Vapor,62103,8438.64645249564,-50.0409860569137,-7.146989897899672,-0.8595853064869656 m^-2 kg^-1 s^2 mol K,-0.5680955035932627 m^-2 kg^-1 s^2 mol K,-4276.090658119965,-5826.528691497053,-3543.9230579058544,-1993.4850245287669,0.00011850241690173674,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.6285153750092393e-05,3.1162547883241783e-05,1.7371722787715547e-05,1.1855569946259965,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
