thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.1657,293.149994,101325.0,Liquid,197803,41.79746145115552,-0.716666189128783,-0.04228820525490492,-5.086102036537597e-3 m^-2 kg^-1 s^2 mol K,-3.3613786508080085e-3 m^-2 kg^-1 s^2 mol K,-25.603143691375042,-38.79752501843289,-26.40073790168675,-13.2063565746289,0.02392489795507316,30.97950332934516,22.488454897094613,-4.040300725585575,-16.18282187643887,-12.142521150853295,-5985.5674419411225,-6994.263234652482,17535.236232563522,5.7028031258738704e-05,4284.6756968939235,0.00023338989243104836,-0.00017636186117230967,-7.636845111846924e-08,2.4401146875321393e-05,2.985547913720839e-05,1.612659234374555e-05,1.2235277009624226,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1683,298.149994,101325.0,Liquid,197973,41.085592307936935,-0.19327872789519648,-0.04091663597364211,-4.92114016897586e-3 m^-2 kg^-1 s^2 mol K,-3.252356201821334e-3 m^-2 kg^-1 s^2 mol K,-24.974727106374644,-37.73871048964442,-25.539415719602843,-12.775432336333067,0.024339432482924667,30.914720998851582,22.430985479168502,-4.899392804083198,-14.258992905411214,-9.359600101328017,-4695.269407848549,-5492.4151649372925,15919.430554704479,6.281631723971948e-05,5352.834295417711,0.00018681691694735425,-0.00012400059970763477,-1.0244548320770264e-08,2.4765213088956745e-05,3.0109011879395717e-05,1.636720182998926e-05,1.2157784296563097,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1641,293.149994,101325.0,Liquid,197965,41.79746145115552,-0.716666189128783,-0.04228820525490492,-5.086102036537597e-3 m^-2 kg^-1 s^2 mol K,-3.3613786508080085e-3 m^-2 kg^-1 s^2 mol K,-25.603143691375042,-38.79752501843289,-26.40073790168675,-13.2063565746289,0.02392489795507316,30.97950332934516,22.488454897094613,-4.040300725585575,-16.18282187643887,-12.142521150853295,-5985.5674419411225,-6994.263234652482,17535.236232563522,5.7028031258738704e-05,4284.6756968939235,0.00023338989243104836,-0.00017636186117230967,-7.636845111846924e-08,2.4401146875321393e-05,2.985547913720839e-05,1.612659234374555e-05,1.2235277009624226,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1675,293.149994,101325.0,Liquid,198012,41.79746145115552,-0.716666189128783,-0.04228820525490492,-5.086102036537597e-3 m^-2 kg^-1 s^2 mol K,-3.3613786508080085e-3 m^-2 kg^-1 s^2 mol K,-25.603143691375042,-38.79752501843289,-26.40073790168675,-13.2063565746289,0.02392489795507316,30.97950332934516,22.488454897094613,-4.040300725585575,-16.18282187643887,-12.142521150853295,-5985.5674419411225,-6994.263234652482,17535.236232563522,5.7028031258738704e-05,4284.6756968939235,0.00023338989243104836,-0.00017636186117230967,-7.636845111846924e-08,2.4401146875321393e-05,2.985547913720839e-05,1.612659234374555e-05,1.2235277009624226,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1717,298.149994,101325.0,Liquid,197933,41.085592307936935,-0.19327872789519648,-0.04091663597364211,-4.92114016897586e-3 m^-2 kg^-1 s^2 mol K,-3.252356201821334e-3 m^-2 kg^-1 s^2 mol K,-24.974727106374644,-37.73871048964442,-25.539415719602843,-12.775432336333067,0.024339432482924667,30.914720998851582,22.430985479168502,-4.899392804083198,-14.258992905411214,-9.359600101328017,-4695.269407848549,-5492.4151649372925,15919.430554704479,6.281631723971948e-05,5352.834295417711,0.00018681691694735425,-0.00012400059970763477,-1.0244548320770264e-08,2.4765213088956745e-05,3.0109011879395717e-05,1.636720182998926e-05,1.2157784296563097,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1618,293.149994,101325.0,Liquid,198013,41.79746145115552,-0.716666189128783,-0.04228820525490492,-5.086102036537597e-3 m^-2 kg^-1 s^2 mol K,-3.3613786508080085e-3 m^-2 kg^-1 s^2 mol K,-25.603143691375042,-38.79752501843289,-26.40073790168675,-13.2063565746289,0.02392489795507316,30.97950332934516,22.488454897094613,-4.040300725585575,-16.18282187643887,-12.142521150853295,-5985.5674419411225,-6994.263234652482,17535.236232563522,5.7028031258738704e-05,4284.6756968939235,0.00023338989243104836,-0.00017636186117230967,-7.636845111846924e-08,2.4401146875321393e-05,2.985547913720839e-05,1.612659234374555e-05,1.2235277009624226,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.179,268.149994,101325.0,Liquid,198519,45.7682375328778,-3.4930357584500125,-0.05039829299500454,-6.061521388642519e-3 m^-2 kg^-1 s^2 mol K,-4.006028278793549e-3 m^-2 kg^-1 s^2 mol K,-29.181074476769677,-44.832603092411944,-31.318301128191234,-15.666772512548969,0.021849213644760647,31.311954850611635,22.776751359304395,-1.9550860279232178,-22.83965054436497,-20.884564516441753,-9619.793504324305,-11131.299940160143,21954.98695087253,4.5547738299168434e-05,1837.0261297094548,0.0005443580708120688,-0.0004988103325129004,-1.4901161193847656e-08,2.2545056770860194e-05,2.855406845452587e-05,1.4899911949547417e-05,1.2665334465439186,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.174,288.149994,101325.0,Liquid,198519,42.53476773088198,-1.2501766917166817,-0.04373540226901955,-5.260159829635965e-3 m^-2 kg^-1 s^2 mol K,-3.476412550152644e-3 m^-2 kg^-1 s^2 mol K,-26.258368584902527,-39.90184227262852,-27.29948637122295,-13.656012683496956,0.023510178927671894,31.044798140560893,22.5459836855422,-3.430298450627362,-17.773437883467093,-14.343139432839731,-6962.659188123512,-8124.259044467608,18741.36801859938,5.335789783368942e-05,3542.3546395939748,0.0002822981044367201,-0.0002289402066030307,1.1734664440155029e-07,2.403472760854855e-05,2.959977487534285e-05,1.5884427736797668e-05,1.2315419320506447,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1714,298.149994,101325.0,Liquid,198519,41.085592307936935,-0.19327872789519648,-0.04091663597364211,-4.92114016897586e-3 m^-2 kg^-1 s^2 mol K,-3.252356201821334e-3 m^-2 kg^-1 s^2 mol K,-24.974727106374644,-37.73871048964442,-25.539415719602843,-12.775432336333067,0.024339432482924667,30.914720998851582,22.430985479168502,-4.899392804083198,-14.258992905411214,-9.359600101328017,-4695.269407848549,-5492.4151649372925,15919.430554704479,6.281631723971948e-05,5352.834295417711,0.00018681691694735425,-0.00012400059970763477,-1.0244548320770264e-08,2.4765213088956745e-05,3.0109011879395717e-05,1.636720182998926e-05,1.2157784296563097,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.169,308.149994,101325.0,Liquid,198519,39.73301040619852,0.8244893614678813,-0.03838052506915826,-4.6161161378440495e-3 m^-2 kg^-1 s^2 mol K,-3.050767390023164e-3 m^-2 kg^-1 s^2 mol K,-23.792496159792037,-35.74753716959915,-23.920578599821184,-11.965537590014073,0.025167989784232302,30.786551809965665,22.316213594022194,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.5486345947859582e-05,3.060977817685399e-05,1.684379482377872e-05,1.201026551215934,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
