speed_of_sound_m_s,temperature,pressure,state,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
1373.7,333.15,39330000.0,liquid,4448.051724045186,-89.96931245346751,-91.8828554340256,-11.050967411100595 m^-2 kg^-1 s^2 mol K,-2.011109709825112 m^-2 kg^-1 s^2 mol K,-57807.4618785183,-51735.35166176283,-21124.5783739172,-27196.688590672675,0.00022481752957013082,478.3593063088694,435.10372041739447,-0.0026182182317996995,-84.24206337183904,-84.23944515360724,-55333.47908873407,-58102.29580396795,4222.619492555724,0.00023681982280500342,0.08241818654686663,12.133244395414545,-12.13300757559174,6.6245604557479965e-09,3.1568158831381356e-05,4.327006485039262e-05,5.744929686727721e-06,1.3706869976648306,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,179165.14870976872,204620.20381492228,207390.16703616,1157.4205544325275,1
1419.9,333.15,49130000.0,liquid,4493.720086347602,-91.664923414382,-93.49353665152793,-11.244687834352687 m^-2 kg^-1 s^2 mol K,-2.046363910629502 m^-2 kg^-1 s^2 mol K,-58271.46409087562,-50108.39208607377,-18961.020350617244,-27124.092355419092,0.00022253277480235273,478.4910885974111,436.14939253744143,-0.0026182182317996995,-84.24206337183904,-84.23944515360724,-55333.47908873407,-58102.29580396795,4222.619492555724,0.00023681982280500342,0.08241818654686663,12.133244395414545,-12.13300757559174,6.6245604557479965e-09,3.1568158831381356e-05,4.327006485039262e-05,5.744929686727721e-06,1.3706869976648306,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,178729.53973534206,219112.2286278066,221882.19184904432,1195.9056269528062,1
1006.2,373.15,100000.0,liquid,4050.3472007141477,-26.04931778198559,-73.96111323954388,-8.895477270901686 m^-2 kg^-1 s^2 mol K,-1.6188429526150667 m^-2 kg^-1 s^2 mol K,-51589.121868520044,-54666.97435303264,-27068.384947696846,-23990.53246318425,0.00024689241451292926,506.01118872820996,454.84970000306373,-0.017514986914397228,-73.93676445577157,-73.91924946885717,-51564.93180180591,-54659.038441972116,4049.51894977541,0.00024694291159088437,0.6565821252265536,1.523038720639783,-1.5227917777281923,2.1334471966838464e-08,3.5080741319337015e-05,4.579408229585656e-05,6.3841668218398345e-06,1.305390951661965,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,118375.80642906361,115273.46117383156,118376.00289979544,879.6184579098176,1
1082.8,373.15,9910000.0,liquid,4127.435823097206,-28.493748567058372,-76.24878529102763,-9.17062097609906 m^-2 kg^-1 s^2 mol K,-1.668914965004124 m^-2 kg^-1 s^2 mol K,-52478.857203272884,-53180.39248728474,-24728.158255937782,-24026.622971925928,0.0002422811747681168,503.8132939197884,456.17445350263813,-0.017514986914397228,-73.93676445577157,-73.91924946885717,-51564.93180180591,-54659.038441972116,4049.51894977541,0.00024694291159088437,0.6565821252265536,1.523038720639783,-1.5227917777281923,2.1334471966838464e-08,3.5080741319337015e-05,4.579408229585656e-05,6.3841668218398345e-06,1.305390951661965,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,134516.58956146825,133272.14756259316,136374.68928855707,940.7031817051057,1
1149.8,373.15,19710000.0,liquid,4195.12388384411,-30.673499972694145,-78.29328930162067,-9.416518288347385 m^-2 kg^-1 s^2 mol K,-1.7136645741456509 m^-2 kg^-1 s^2 mol K,-53234.81510316511,-51639.0450400767,-22423.904137176953,-24019.67420026536,0.00023837198320915182,502.4379747129864,457.3795734579592,-0.017514986914397228,-73.93676445577157,-73.91924946885717,-51564.93180180591,-54659.038441972116,4049.51894977541,0.00024694291159088437,0.6565821252265536,1.523038720639783,-1.5227917777281923,2.1334471966838464e-08,3.5080741319337015e-05,4.579408229585656e-05,6.3841668218398345e-06,1.305390951661965,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,146264.75684003756,150277.0698418662,153379.61156783008,994.9541253134454,1
1209.6,373.15,29520000.0,liquid,4255.893758581986,-32.658213179071055,-80.15842458678155,-9.640842501566972 m^-2 kg^-1 s^2 mol K,-1.7544882040209524 m^-2 kg^-1 s^2 mol K,-53891.9887005449,-50058.267052811236,-20147.150918253697,-23980.87256598736,0.00023496827146671733,501.5758766617889,458.49792734232295,-0.017514986914397228,-73.93676445577157,-73.91924946885717,-51564.93180180591,-54659.038441972116,4049.51894977541,0.00024694291159088437,0.6565821252265536,1.523038720639783,-1.5227917777281923,2.1334471966838464e-08,3.5080741319337015e-05,4.579408229585656e-05,6.3841668218398345e-06,1.305390951661965,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,154129.05290230506,166533.71586167093,169636.2575876348,1044.1799940378908,1
1264.1,373.15,39330000.0,liquid,4311.197233925888,-34.48818154434884,-81.88104611377815,-9.84802624946615 m^-2 kg^-1 s^2 mol K,-1.7921925272369863 m^-2 kg^-1 s^2 mol K,-54471.360305817914,-48451.14613221354,-17897.233774857206,-23917.447948461606,0.00023195412915251248,501.06014571162046,459.54810655160827,-0.017514986914397228,-73.93676445577157,-73.91924946885717,-51564.93180180591,-54659.038441972116,4049.51894977541,0.00024694291159088437,0.6565821252265536,1.523038720639783,-1.5227917777281923,2.1334471966838464e-08,3.5080741319337015e-05,4.579408229585656e-05,6.3841668218398345e-06,1.305390951661965,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,158443.67768894017,182165.81152064414,185268.35324660802,1089.4227869519013,1
1314.2,373.15,49130000.0,liquid,4362.038563367009,-36.19133154951489,-83.48671850278956,-10.041144249119629 m^-2 kg^-1 s^2 mol K,-1.8273370960151902 m^-2 kg^-1 s^2 mol K,-54987.53870367978,-46826.99797718659,-15673.928967870668,-23834.469694363852,0.0002292506096571762,500.7900008767986,460.54290356506175,-0.017514986914397228,-73.93676445577157,-73.91924946885717,-51564.93180180591,-54659.038441972116,4049.51894977541,0.00024694291159088437,0.6565821252265536,1.523038720639783,-1.5227917777281923,2.1334471966838464e-08,3.5080741319337015e-05,4.579408229585656e-05,6.3841668218398345e-06,1.305390951661965,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,159473.37867069067,197258.93371687742,200361.4754428413,1131.4002810632624,1
873.6,413.15,100000.0,liquid,3872.506554426425,26.872429950477798,-65.20878941171132,-7.8428146720316985 m^-2 kg^-1 s^2 mol K,-1.4272742061874333 m^-2 kg^-1 s^2 mol K,-48006.60108442871,-51415.89824714071,-24474.88690169217,-21065.589738980172,0.00025823067977947286,534.3275031493615,480.07627454443576,-0.07243825583447933,-65.18365436477877,-65.11121610894429,-47930.44430470917,-51327.84733384201,3871.5634246159916,0.0002582935859043009,3.159491932262079,0.31650658442543866,-0.3162482908395344,-9.595169103704393e-09,3.8459877055633745e-05,4.818607095917019e-05,6.999118657030032e-06,1.252891965553273,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,94729.24795117466,91294.32184202773,94729.44207271773,787.0594306610328,1
964.0,413.15,9910000.0,liquid,3966.7695724376026,24.132969524568136,-67.74828644726962,-8.148245961122317 m^-2 kg^-1 s^2 mol K,-1.4828581029019896 m^-2 kg^-1 s^2 mol K,-49108.85434687083,-50045.72006112568,-22055.51551543623,-21118.649801181393,0.0002520943003466406,530.6108738671991,481.460081552779,-0.07243825583447933,-65.18365436477877,-65.11121610894429,-47930.44430470917,-51327.84733384201,3871.5634246159916,0.0002582935859043009,3.159491932262079,0.31650658442543866,-0.3162482908395344,-9.595169103704393e-09,3.8459877055633745e-05,4.818607095917019e-05,6.999118657030032e-06,1.252891965553273,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,111930.19270252215,110311.97412584937,113747.09435653938,858.2117984036491,1
