speed_of_sound_m_s,temperature,pressure,state,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
1353.8,313.15,39330000.0,liquid,6310.914543387343,-96.9093195510507,-66.93028737959003,-8.049863286829739 m^-2 kg^-1 s^2 mol K,-2.108618840850204 m^-2 kg^-1 s^2 mol K,-39758.375350553,-36129.98901666056,-15170.769523741952,-18799.155857634385,0.00015845563953132796,318.64458725252575,285.597380490604,-0.02252081550244716,-60.975965391231654,-60.95344457572921,-37895.87714986008,-40489.55702778595,5963.262937832571,0.00016769342731069706,1.6055322765158615,0.6228464009269767,-0.622678707499666,-1.5173100109677762e-07,2.4415239985430707e-05,3.428924838421149e-05,6.395442158798907e-06,1.4044198789228735,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,122021.6282932789,134334.78956630355,136938.46353517822,1156.503360179288,1
1401.9,313.15,49130000.0,liquid,6379.884500542301,-98.23150804739035,-68.16210272065119,-8.198016618876924 m^-2 kg^-1 s^2 mol K,-2.1474268176018767 m^-2 kg^-1 s^2 mol K,-40096.78570437886,-34999.69330423493,-13654.730837263001,-18751.82323740694,0.00015674264948135007,318.573380427332,286.3637612807435,-0.02252081550244716,-60.975965391231654,-60.95344457572921,-37895.87714986008,-40489.55702778595,5963.262937832571,0.00016769342731069706,1.6055322765158615,0.6228464009269767,-0.622678707499666,-1.5173100109677762e-07,2.4415239985430707e-05,3.428924838421149e-05,6.395442158798907e-06,1.4044198789228735,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,124539.57826303403,144712.1056846271,147315.77965350178,1197.7835872932205,1
1030.5,333.15,100000.0,liquid,5823.3631909363385,-70.32784648422515,-56.76807628647445,-6.827630226219411 m^-2 kg^-1 s^2 mol K,-1.7884613962226035 m^-2 kg^-1 s^2 mol K,-36489.50834217199,-39242.29935609218,-20330.014741253217,-17577.22372733303,0.00017172207317524532,330.4635857351798,290.2003979011812,-0.04891507805989183,-56.75089083057091,-56.70197575251102,-36445.882826452944,-39192.9823758551,5822.260494362977,0.00017175459616899393,3.8184517821196,0.26188624527946924,-0.26171449068330027,-3.9886617742013186e-07,2.5899838254316638e-05,3.5367280457454395e-05,6.784324773238851e-06,1.3655405918050416,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,81227.5138413659,78457.65707811357,81227.6202993513,899.8553008429908,1
1108.5,333.15,9910000.0,liquid,5935.497839783432,-72.25165795601255,-58.53330647950017,-7.03993861872714 m^-2 kg^-1 s^2 mol K,-1.8440744495827588 m^-2 kg^-1 s^2 mol K,-37114.674559139174,-38215.02214450271,-18714.65109085724,-17614.3035054937,0.00016847786436672123,328.61038737829386,291.20426905594763,-0.04891507805989183,-56.75089083057091,-56.70197575251102,-36445.882826452944,-39192.9823758551,5822.260494362977,0.00017175459616899393,3.8184517821196,0.26188624527946924,-0.26171449068330027,-3.9886617742013186e-07,2.5899838254316638e-05,3.5367280457454395e-05,6.784324773238851e-06,1.3655405918050416,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,92907.0355030531,91143.44534488802,93913.40856612577,963.1935980215569,1
1176.2,333.15,19710000.0,liquid,6033.663862654408,-73.96275235239308,-60.108014377089766,-7.229332446074621 m^-2 kg^-1 s^2 mol K,-1.8936851545669062 m^-2 kg^-1 s^2 mol K,-37644.47202186291,-37147.763375283204,-17122.77838555575,-17619.487032135454,0.00016573677665233192,327.44931283241806,292.1189136379904,-0.04891507805989183,-56.75089083057091,-56.70197575251102,-36445.882826452944,-39192.9823758551,5822.260494362977,0.00017175459616899393,3.8184517821196,0.26188624527946924,-0.26171449068330027,-3.9886617742013186e-07,2.5899838254316638e-05,3.5367280457454395e-05,6.784324773238851e-06,1.3655405918050416,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,102033.30184942445,103115.78872939115,105885.7519506289,1019.3397881191883,1
1236.8,333.15,29520000.0,liquid,6121.608660901029,-75.51802767748043,-61.54297541133933,-7.401918589058362 m^-2 kg^-1 s^2 mol K,-1.9388931760944996 m^-2 kg^-1 s^2 mol K,-38104.25901664611,-36051.96037254348,-15548.91811425579,-17601.216758358416,0.0001633557542459455,326.7166561302004,292.96917205793693,-0.04891507805989183,-56.75089083057091,-56.70197575251102,-36445.882826452944,-39192.9823758551,5822.260494362977,0.00017175459616899393,3.8184517821196,0.26188624527946924,-0.26171449068330027,-3.9886617742013186e-07,2.5899838254316638e-05,3.5367280457454395e-05,6.784324773238851e-06,1.3655405918050416,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,108927.34879623077,114552.5185210272,117322.48174226496,1070.2206022615608,1
1291.9,333.15,39330000.0,liquid,6201.514369634591,-76.95027579389006,-62.86739658517729,-7.561209842704305 m^-2 kg^-1 s^2 mol K,-1.9806186721249752 m^-2 kg^-1 s^2 mol K,-38509.15279011285,-34937.11667767533,-13992.84350532352,-17564.87961776104,0.00016125093652873734,326.27160384385763,293.7689778170835,-0.04891507805989183,-56.75089083057091,-56.70197575251102,-36445.882826452944,-39192.9823758551,5822.260494362977,0.00017175459616899393,3.8184517821196,0.26188624527946924,-0.26171449068330027,-3.9886617742013186e-07,2.5899838254316638e-05,3.5367280457454395e-05,6.784324773238851e-06,1.3655405918050416,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,113792.9453550858,125543.3754877948,128313.33870903254,1116.9419082849654,1
1342.6,333.15,49130000.0,liquid,6274.88131696033,-78.2820826542086,-64.1014165865787,-7.70962833444268 m^-2 kg^-1 s^2 mol K,-2.019496106046385 m^-2 kg^-1 s^2 mol K,-38869.61269354061,-33809.94575632309,-12454.558820504397,-17514.225757721917,0.00015936556398239875,326.0297202947249,294.52785906391125,-0.04891507805989183,-56.75089083057091,-56.70197575251102,-36445.882826452944,-39192.9823758551,5822.260494362977,0.00017175459616899393,3.8184517821196,0.26188624527946924,-0.26171449068330027,-3.9886617742013186e-07,2.5899838254316638e-05,3.5367280457454395e-05,6.784324773238851e-06,1.3655405918050416,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,116788.73495197073,136150.15165237657,138920.1148736143,1160.2617706965582,1
951.6,353.15,100000.0,liquid,5679.618019082643,-50.78763049697301,-52.88882158593052,-6.361063127574428 m^-2 kg^-1 s^2 mol K,-1.6662466281366377 m^-2 kg^-1 s^2 mol K,-35087.96459718725,-38006.61025292389,-19328.922909852532,-16410.277254115892,0.00017606817864161884,340.06753052232347,298.42489434995156,-0.09487240778699593,-52.873055667532924,-52.77818325974593,-35005.90459803026,-37895.70198696419,5678.546907343004,0.00017610138937249718,8.0531348118562,0.12417524645530005,-0.12399914506592756,1.1671363608911633e-07,2.735187432708333e-05,3.641341097944988e-05,7.164677893724678e-06,1.331294906667291,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,71656.28948335609,68720.14258651955,71656.39506012037,845.474566843168,1
1037.5,353.15,9910000.0,liquid,5805.219015824651,-52.83810237790712,-54.75742820826518,-6.585804846691052 m^-2 kg^-1 s^2 mol K,-1.7251165252229286 m^-2 kg^-1 s^2 mol K,-35793.68146702705,-37022.84933744819,-17685.26356569934,-16456.095695278203,0.0001722587894227702,337.543321489362,299.4658669123301,-0.09487240778699593,-52.873055667532924,-52.77818325974593,-35005.90459803026,-37895.70198696419,5678.546907343004,0.00017610138937249718,8.0531348118562,0.12417524645530005,-0.12399914506592756,1.1671363608911633e-07,2.735187432708333e-05,3.641341097944988e-05,7.164677893724678e-06,1.331294906667291,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,83770.64821942055,81826.86416214751,84763.11663574832,914.5397034505922,1
