thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
0.0944,433.41,1000000.0,Liquid,190310,5058.39100498467,22.860091585304822,-39.809301039125145,-4.787958388580423 m^-2 kg^-1 s^2 mol K,-1.2541802149466739 m^-2 kg^-1 s^2 mol K,-29595.124976007464,-33001.00489832346,-15747.255734956225,-12341.37581264023,0.00019769132101780468,385.1448747552373,332.6548249020065,-0.6471462428446387,-39.57342998031627,-38.92628373747163,-28878.049700750595,-32118.521472080392,5038.601995894151,0.00019846774974782266,73.23474832623612,0.013654720236701534,-0.013456252486953712,1.896405592560768e-07,3.290305892030911e-05,4.033956598186561e-05,8.618781150541991e-06,1.2260126354685639,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,38968.10107656849,35375.37514633293,38978.94638966673,628.547649390425,1
0.0925,443.56,1000000.0,Liquid,190310,4965.935300167896,31.854050757528395,-38.279263401267016,-4.603937158571215 m^-2 kg^-1 s^2 mol K,-1.2059768332384784 m^-2 kg^-1 s^2 mol K,-28860.658883533964,-32347.249987538627,-15368.099913272625,-11881.508809267965,0.000201371934903419,391.9921139814918,337.08029921980307,-0.7810440514916973,-38.045426194665275,-37.26438214317358,-28005.74716491272,-31250.509259046397,4945.778028137491,0.0002021926569107643,91.33318808833725,0.010948922521272358,-0.010746729864361594,-7.700873538851738e-08,3.357723954125897e-05,4.0809187194770835e-05,8.795379175727935e-06,1.2153824362072827,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,35198.99226635319,31522.024634866237,35209.98767377429,598.7050574869954,1
0.0912,453.59,1000000.0,Liquid,190310,4870.310432996351,40.698049387235606,-36.778459436025955,-4.423431931214211 m^-2 kg^-1 s^2 mol K,-1.1586944497103446 m^-2 kg^-1 s^2 mol K,-28118.86730309207,-31684.898681296076,-15002.557265709065,-11436.525887505055,0.00020532572076412223,399.136598617203,341.47182653987966,-0.933362424859791,-36.550824486736936,-35.61746206187714,-27107.456487673575,-30344.032088379092,4850.143153460523,0.000206179481380155,112.69003313566215,0.008873899245340959,-0.008667719763960803,7.159542292356491e-09,3.423764838767559e-05,4.126800677955253e-05,8.968369757878141e-06,1.20533999041849,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,31591.11233640641,27830.933879635504,31602.290978603633,568.6573169474315,1
0.0895,463.7,1000000.0,Liquid,190310,4768.8823603659785,49.57990742834989,-35.269429220113196,-4.24193731331575 m^-2 kg^-1 s^2 mol K,-1.1111529005961207 m^-2 kg^-1 s^2 mol K,-27350.858411505596,-30996.581989405928,-14642.147660039434,-10996.424082139107,0.00020969273813733938,406.80577571171386,345.91445147568385,-1.1095867336076068,-35.05402591102947,-33.94443917742186,-26159.338328684596,-29373.797596046163,4749.248694326888,0.0002105596199235741,138.30757240565802,0.007230262107898085,-0.007019702487974511,-8.050119504332542e-08,3.489753210698727e-05,4.172538047166673e-05,9.141222785778308e-06,1.1956541896357298,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,28071.335297114463,24227.323986612686,28082.74030265034,537.696184346964,1
0.087,473.69,1000000.0,Liquid,190310,4662.745981836045,58.33662195545205,-33.77358747275213,-4.062028903589408 m^-2 kg^-1 s^2 mol K,-1.064026850269648 m^-2 kg^-1 s^2 mol K,-26566.80702248373,-30290.818922964732,-14292.608272996771,-10568.596372515769,0.00021446589711203418,414.9696324844624,350.31744628062773,-1.3091424224147097,-33.57864911076572,-32.26950668835101,-25173.322502823517,-28350.750545271203,4644.452387114254,0.00021531063657244894,168.36854185836438,0.005939351787231274,-0.005724041150658825,-3.864988684654236e-08,3.554390827306424e-05,4.2172453279602894e-05,9.310537582005511e-06,1.186488918315206,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,24707.584802851947,20780.785532697173,24719.26333029018,506.29431115778567,1
0.0859,483.55,1000000.0,Liquid,190310,4551.028580595831,66.97462645485022,-32.282774954632416,-3.882725371107974 m^-2 kg^-1 s^2 mol K,-1.0170592443178892 m^-2 kg^-1 s^2 mol K,-25762.000112139576,-29562.7279640216,-13952.392134709096,-10151.66428282707,0.00021973054712591536,423.7799481214412,354.6727194609814,-1.5345280358363105,-32.11975024483558,-30.58522220899927,-24144.00617148176,-27268.421003011117,4535.262731097741,0.00022049439234096018,203.52301443012885,0.004913449237178571,-0.004692954844837611,8.451752364635468e-08,3.6176377336235514e-05,4.260910886085177e-05,9.476209486650124e-06,1.1778158013122284,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,21497.238609305212,17488.78916762213,21509.24756663013,474.3259978666807,1
0.0843,493.45,1000000.0,Liquid,190310,4430.272747507344,75.66103456684357,-30.75904179605853,-3.699462395669601 m^-2 kg^-1 s^2 mol K,-0.9690544833585502 m^-2 kg^-1 s^2 mol K,-24914.372276860562,-28791.424118654104,-13613.374944389021,-9736.32310259548,0.00022571973713416213,433.6637653499831,359.0512400322141,-1.7938166316296469,-30.645162777552915,-28.85134614592327,-23044.398665593148,-26097.188618875058,4418.902853858047,0.0002263005169092871,245.37754552302712,0.0040753525261183945,-0.0038490520092091074,8.638016879558563e-08,3.6805957476199614e-05,4.3043079399085154e-05,9.641124653237535e-06,1.169459575312468,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,18380.575857890355,14290.22256712511,18392.994146052828,440.99389741754794,1
0.0825,503.51,1000000.0,Liquid,190310,4296.348785434412,84.52672838762065,-29.165639417874377,-3.507820139114713 m^-2 kg^-1 s^2 mol K,-0.9188548143112721 m^-2 kg^-1 s^2 mol K,-23999.833914995674,-27953.493210819383,-13268.302107525456,-9314.642811701748,0.00023275577704264251,445.26932487451995,363.50074385915246,-2.097268233880789,-29.128193053248538,-27.030924819367748,-21846.17597241933,-24804.900109183916,4292.478294375727,0.00023296565094115034,296.0709652287084,0.0033775686151038876,-0.0031446029641627373,-7.019843906164169e-08,3.744015839106782e-05,4.347962679432285e-05,9.807250207216004e-06,1.161309905267278,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,15318.090873402816,11144.616526862887,15331.031599729224,405.4641271128058,1
0.128,302.61,4000000.0,Liquid,190310,6077.456109853458,-102.1629415061115,-64.06404313603477,-7.70513334152969 m^-2 kg^-1 s^2 mol K,-2.018318666578397 m^-2 kg^-1 s^2 mol K,-38905.29126526837,-40763.16068096419,-21376.740587568707,-19518.87117187289,0.00016454252929588205,316.47996472996067,278.22812934452935,-0.014160090783222182,-63.369092212077256,-63.354932121294034,-38670.39493037628,-41180.334528081374,6037.032167206785,0.00016564430539761066,0.9592431451277614,1.042488554731147,-1.0423229104257494,1.1132851795991883e-07,2.3619161688951486e-05,3.3707255678913575e-05,6.1869136863347355e-06,1.4271148198575174,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,101221.82526264385,98877.95627696477,101393.99580984413,1004.8164184184224,1
0.125,312.88,4000000.0,Liquid,190310,6007.797923583881,-91.52984817567754,-61.74523169313101,-7.426244428391633 m^-2 kg^-1 s^2 mol K,-1.9452652002283195 m^-2 kg^-1 s^2 mol K,-38169.926030683986,-40105.55373933357,-20786.70564718674,-18851.077938537153,0.00016645033882954933,320.75855514353947,282.3686488193084,-0.022266144888374893,-61.0357337641867,-61.013467619298325,-37915.60773232737,-40507.1630301327,5965.155391317381,0.00016764022634775888,1.5853484826961501,0.6307761422266812,-0.6306085020003335,-4.888443072559312e-08,2.4394965658357514e-05,3.4274462988198985e-05,6.390131406736566e-06,1.4049809894467649,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,96087.7209077262,93656.69489294532,96258.1239569131,978.3800616435483,1
0.1221,323.14,4000000.0,Liquid,190310,5938.1358064248125,-81.1098049325978,-59.54397019462125,-7.161493523900984 m^-2 kg^-1 s^2 mol K,-1.8759151099908278 m^-2 kg^-1 s^2 mol K,-37446.96791634137,-39460.0912887734,-20219.052760083498,-18205.929387651457,0.00016840301949949378,325.1738847572203,286.52829507829006,-0.033706775314792166,-58.81742268499674,-58.78371590968195,-37169.14985391321,-39840.52345870797,5893.069406697991,0.00016969085734225566,2.516801624107278,0.3973296863850781,-0.39715999552773584,1.1235806596232578e-07,2.5161011910542426e-05,3.483189622844402e-05,6.590793145049881e-06,1.3843599117668834,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,91039.2731005161,88521.42410727416,91208.15955770419,951.916662299857,1
