,A_res,E_res,G_res,H_res,M,R,V,V_vap_gas,V_vap_liq,dE_vap,dH_vap,dV_vap,dpressure,epsilon,eta_CE,eta_CE_ig,eta_CE_m,m,omega22,pressure,rho,rho_vap_gas,rho_vap_liq,s_res,s_res*,s_res**,s_res_vle_gas,s_res_vle_liq,s_total,s_vap,sigma,state,success,temperature,viscosity
240,-59.87142820869231,-115.50622867827639,-119.51154864149618,-175.14634911108027,0.0440962,8.31446261815324,0.012967575697679104,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,230160.0,77.11541642891484,2690.112604400896,7112.243845526636,-0.15194952878566684,-0.018275327674684642 m^-2 kg^-1 s^2 mol K,-9.129315078702845e-3 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,14.964740395637662,-7.848068896969818,3.618353e-10,G,1,366.14,9.929e-06
241,-62.41109688231635,-120.407510393559,-124.57078443208951,-182.56719794333213,0.0440962,8.31446261815324,0.012437844742496052,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,239760.0,80.39978152994037,2690.112604400896,7112.243845526636,-0.15839955621140175,-0.019051087663267952 m^-2 kg^-1 s^2 mol K,-9.516840680831355e-3 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,14.611508727381164,-7.848068896969818,3.618353e-10,G,1,366.14,9.932000000000002e-06
242,-68.0160608315671,-131.2249585346877,-135.73336580420812,-198.94226350732873,0.0440962,8.31446261815324,0.011408739126247553,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,260899.99999999997,87.65210501652604,2690.112604400896,7112.243845526636,-0.1726358707137177,-0.020763322735590405 m^-2 kg^-1 s^2 mol K,-0.010372176012831467 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,13.879200763600728,-7.848068896969818,3.618353e-10,G,1,366.14,9.932000000000002e-06
243,-72.76209978714377,-140.38522285601852,-145.1821385398965,-212.80526160877127,0.0440962,8.31446261815324,0.010661299746216588,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,278750.0,93.79719394484462,2690.112604400896,7112.243845526636,-0.1846919841286796,-0.022213339888670074 m^-2 kg^-1 s^2 mol K,-0.011096522174806174 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,13.303762375011646,-7.848068896969818,3.618353e-10,G,1,366.14,9.937e-06
244,-78.43091168260005,-151.32714676641652,-156.4641685129291,-229.36040359674556,0.0440962,8.31446261815324,0.009887084051132623,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,300010.0,101.14205511234064,2690.112604400896,7112.243845526636,-0.19909388508170775,-0.02394549043338285 m^-2 kg^-1 s^2 mol K,-0.011961806144971847 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,12.662524202037567,-7.848068896969818,3.618353e-10,G,1,366.14,9.938e-06
245,-79.8522038712577,-154.07062821867024,-159.29215323517522,-233.51057758258776,0.0440962,8.31446261815324,0.009710206640836834,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,305330.0,102.98442010435106,2690.112604400896,7112.243845526636,-0.20270504273614612,-0.02437981286891272 m^-2 kg^-1 s^2 mol K,-0.012178768950251353 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,12.508822853394676,-7.848068896969818,3.618353e-10,G,1,366.14,9.937e-06
246,-83.3727979618329,-160.86652070105475,-166.2960349490357,-243.78975768825757,0.0440962,8.31446261815324,0.009298044227521817,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,318490.0,107.54949917747673,2690.112604400896,7112.243845526636,-0.2116505236773416,-0.025455706928700122 m^-2 kg^-1 s^2 mol K,-0.012716224477065783 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,12.139250166197398,-7.848068896969818,3.618353e-10,G,1,366.14,9.941e-06
247,-90.39684259808428,-174.42600661805182,-180.26482330526156,-264.2939873252291,0.0440962,8.31446261815324,0.008571646393081642,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,344670.0,116.66370194728533,2690.112604400896,7112.243845526636,-0.22950009291518966,-0.027602516657434305 m^-2 kg^-1 s^2 mol K,-0.013788648609563704 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,11.445066833240176,-7.848068896969818,3.618353e-10,G,1,366.14,9.944e-06
248,-94.25578185044664,-181.87590265639417,-187.93636965877184,-275.55649046471945,0.0440962,8.31446261815324,0.008218647823743909,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,359010.0,121.67451647106368,2690.112604400896,7112.243845526636,-0.2393076987107323,-0.028782100503794907 m^-2 kg^-1 s^2 mol K,-0.014377901660828623 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,11.085601750908285,-7.848068896969818,3.618353e-10,G,1,366.14,9.946000000000001e-06
249,-99.42996820674577,-191.8679070771433,-198.21951747164968,-290.65745634204717,0.0440962,8.31446261815324,0.00778813605767141,0.0003715978463129915,0.00014062856188611946,-4917.368144774331,-5830.117139040672,-0.00023096928442687206,2.1420419216156006e-08,208.1101,2.1016012778469628e-05,2.590893195337948e-05,1.0498405597316067e-05,2.0018290000000003,1.2328186238981793,378210.0,128.40042759846082,2691.081258737206,7110.930998567679,-0.25245920762091356,-0.030363863452787805 m^-2 kg^-1 s^2 mol K,-0.015168060535034611 m^-2 kg^-1 s^2 mol K,-4.8235696064237095,-12.667244594645457,10.628025870057698,-7.843674988221747,3.618353e-10,G,1,366.15,9.947e-06
