,A_res,E_res,G_res,H_res,M,R,V,V_vap_gas,V_vap_liq,dE_vap,dH_vap,dV_vap,dpressure,epsilon,eta_CE,eta_CE_ig,eta_CE_m,m,omega22,pressure,rho,rho_vap_gas,rho_vap_liq,s_res,s_res*,s_res**,s_res_vle_gas,s_res_vle_liq,s_total,s_vap,sigma,state,success,temperature,viscosity,refno
118,-351.900540975894,-628.361523499127,-696.938545394998,-973.399527918232,0.0440962,8.31446261815324,0.0025873860447499,0.00216943573124239,8.95584413620509E-05,-13081.9141955565,-15067.4077470685,-0.00207987728988034,1.16415321826935E-09,208.1101,1.74499406772695E-05,2.33815776113964E-05,8.71699864337538E-06,2.001829,1.33992304293925,824900,386.490451252574,460.94935452516,11165.8932959471,-0.927099203632574,-0.11150440457912547 m^-2 kg^-1 s^2 mol K,-0.05570126348410651 m^-2 kg^-1 s^2 mol K,-1.10079793520809,-25.1277131925247,-19.7003300748883,-24.0269152573166,3.618353E-10,G,1,298.2,0.000008158,Bell
119,-368.967282375611,-658.784612482829,-730.380632407777,-1020.19796251499,0.0440962,8.31446261815324,0.00246532348120257,0.00216943573124239,8.95584413620509E-05,-13081.9141955565,-15067.4077470685,-0.00207987728988034,1.16415321826935E-09,208.1101,1.74499406772695E-05,2.33815776113964E-05,8.71699864337538E-06,2.001829,1.33992304293925,859100,405.626282970463,460.94935452516,11165.8932959471,-0.971889101633862,-0.11689139109386386 m^-2 kg^-1 s^2 mol K,-0.058392295792429744 m^-2 kg^-1 s^2 mol K,-1.10079793520809,-25.1277131925247,-20.1469171136088,-24.0269152573166,3.618353E-10,G,1,298.2,0.000008165,Bell
120,-398.081472663679,-710.665209914693,-787.351074468004,-1099.93481171902,0.0440962,8.31446261815324,0.00228130765300747,0.00216999456493113,8.95555815805278E-05,-13082.6338613016,-15068.1582490492,-0.0020804389833506,-1.65309756994247E-08,208.1101,1.74493955212656E-05,2.3381185562878E-05,8.71672631441824E-06,2.001829,1.3399424372256,916150,438.345086284917,460.830647302445,11166.2498568088,-1.04827035531377,-0.12607794435506256 m^-2 kg^-1 s^2 mol K,-0.06298137570944498 m^-2 kg^-1 s^2 mol K,-1.10056266568212,-25.1292822847964,-20.8714022611768,-24.0287196191143,3.618353E-10,G,1,298.19,0.000008176,Bell
121,-16.548068354689,-30.3575331940191,-33.0804754021089,-46.8899402414391,0.0440962,8.31446261815324,0.0525081843949888,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,50861,19.0446501154482,856.890365787341,10161.528926224,-0.0427286266262264,-5.13907255207758e-3 m^-2 kg^-1 s^2 mol K,-2.567188582080477e-3 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,13.8997340747155,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008775,Bell
122,-33.5294109061562,-61.5084928001067,-66.9944333602256,-94.9735152541761,0.0440962,8.31446261815324,0.0258896209864085,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,102500,38.6255171724985,856.890365787341,10161.528926224,-0.0865716200809137,-0.010412172626995644 m^-2 kg^-1 s^2 mol K,-5.2013296974894666e-3 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,7.97651093476291,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008791,Bell
123,-40.036813750719,-73.4454387637428,-79.9817702109322,-113.390395223956,0.0440962,8.31446261815324,0.02167354033978,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,122140,46.1392086536311,856.890365787341,10161.528926224,-0.103371468835743,-0.012432730001100603 m^-2 kg^-1 s^2 mol K,-6.210685328817097e-3 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,6.48181554763124,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008792,Bell
124,-46.2509373536648,-84.8432918465326,-92.3792289134759,-130.971583406344,0.0440962,8.31446261815324,0.0187553422155738,0.00116729323627075,9.84059472098819E-05,-11052.6423524958,-12887.7689746371,-0.00106888728906087,1.20140612125397E-07,208.1101,1.87917356259047E-05,2.43412137146133E-05,9.38728314251852E-06,2.001829,1.29531482345135,140810,53.3181420262026,856.682767386527,10161.9874443887,-0.119414426922668,-0.01436225435206677 m^-2 kg^-1 s^2 mol K,-7.174566035394016e-3 m^-2 kg^-1 s^2 mol K,-1.83991052437238,-21.1533944902986,5.26035085667307,-19.3134839659262,3.618353E-10,G,1,323.18,0.000008793,Bell
125,-53.1072019247302,-97.419599218474,-106.052607220463,-150.365004514207,0.0440962,8.31446261815324,0.016327543690814,0.00116729323627075,9.84059472098819E-05,-11052.6423524958,-12887.7689746371,-0.00106888728906087,1.20140612125397E-07,208.1101,1.87917356259047E-05,2.43412137146133E-05,9.38728314251852E-06,2.001829,1.29531482345135,161330,61.2461996082488,856.682767386527,10161.9874443887,-0.137113674403564,-0.01649098452907816 m^-2 kg^-1 s^2 mol K,-8.237958651352417e-3 m^-2 kg^-1 s^2 mol K,-1.83991052437238,-21.1533944902986,4.09005797073664,-19.3134839659262,3.618353E-10,G,1,323.18,0.000008792,Bell
126,-59.963727615919,-109.997338332242,-119.721059125776,-169.754669842099,0.0440962,8.31446261815324,0.0144544965728728,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,181770,69.1826238955102,856.890365787341,10161.528926224,-0.15481175381764,-0.018619574219942273 m^-2 kg^-1 s^2 mol K,-9.301281088415778e-3 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,3.06229762288092,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008794,Bell
127,-66.0908103915989,-121.235835787664,-131.930761283246,-187.075786679311,0.0440962,8.31446261815324,0.0131098335717394,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,199950,76.2786189868708,856.890365787341,10161.528926224,-0.170627263826432,-0.02052174285490157 m^-2 kg^-1 s^2 mol K,-0.010251496433961924 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,2.23463349901397,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008793,Bell
128,-73.1956527218705,-134.267537423904,-146.083427371821,-207.155312073854,0.0440962,8.31446261815324,0.0118324585811125,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,220940,84.5132897060164,856.890365787341,10161.528926224,-0.188965886017617,-0.022727372134074133 m^-2 kg^-1 s^2 mol K,-0.011353303471012823 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,1.36392842449931,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008795,Bell
