thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
0.1037,301.89,789000.0,Liquid,51298,9767.875416749457,-77.5140218193597,-33.40451973518461,-4.0176402576218715 m^-2 kg^-1 s^2 mol K,-1.723136207552229 m^-2 kg^-1 s^2 mol K,-19055.625554864488,-21484.90368866264,-11400.41322580776,-8971.135092009608,0.00010237640810664423,176.2450152774026,140.15549716084254,-0.45024529574443434,-33.31227309691981,-32.86202780117537,-18707.183265926036,-21010.456923377384,9750.117441712544,0.00010256286716320379,117.55487695452635,0.00850666536265296,-0.008404102495489755,-2.0256265997886658e-07,1.871963468667494e-05,2.5711027218139328e-05,8.028712939035892e-06,1.3734791115577176,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,29213.908713459667,26706.454980232633,29216.508100026913,795.0482692095115,1
0.1247,301.92,33900000.0,Liquid,51298,10580.464025361718,-82.5584605096449,-37.796818020024304,-4.545912316389668 m^-2 kg^-1 s^2 mol K,-1.9497081884990164 m^-2 kg^-1 s^2 mol K,-20462.398280976966,-19768.682568651227,-8357.06727204549,-9050.78298437123,9.451381315630083e-05,168.24351762883737,142.44214503316834,-0.45057245445271255,-33.307557724021606,-32.856985269568895,-18705.357216349894,-21008.715670133315,9749.527192771384,0.00010256907645136191,117.65582413464158,0.008499366753452272,-0.008396797677000911,-5.943002179265022e-08,1.8721398113728818e-05,2.5712304689494704e-05,8.029469259863808e-06,1.3734179751585593,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,49673.29607631481,51252.43406989102,53762.73662356384,1045.241368478936,1
0.1133,302.03,14660000.0,Liquid,51298,10167.325725213388,-79.8991207454925,-35.513633401508685,-4.271308325323467 m^-2 kg^-1 s^2 mol K,-1.8319325666406758 m^-2 kg^-1 s^2 mol K,-19763.891552178917,-20833.234953711573,-10107.052257453905,-9037.70885592125,9.835427987913827e-05,171.33644089412417,141.26164611846528,-0.45177349775867226,-33.290271225561504,-32.83849772780283,-18698.65982373142,-21002.32837216738,9747.362330614114,0.0001025918567589553,118.0265405959389,0.008472670595535598,-0.008370078738776644,-1.252046786248684e-07,1.8727863458230103e-05,2.5716988208217837e-05,8.032242198327705e-06,1.3731939185468758,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,39328.7239294926,37645.392137394054,40156.60928195488,915.4133583070615,1
0.1094,302.1,9206000.0,Liquid,51298,10022.797388235243,-78.9721249263871,-34.734302503165864,-4.1775763628222125 m^-2 kg^-1 s^2 mol K,-1.7917316208032696 m^-2 kg^-1 s^2 mol K,-19509.36027418256,-21102.653385019596,-10609.420598813185,-9016.12748797615,9.977254465642493e-05,172.85224383844596,140.8802168548052,-0.4525389946816679,-33.279273342469104,-32.826734347787436,-18694.39630832239,-20998.26151393487,9745.984186401338,0.00010260636390066272,118.26292355231368,0.00845573549141671,-0.008353129127516047,7.8580342233181e-09,1.8731977314644757e-05,2.5719968185176127e-05,8.034006600933766e-06,1.3730514271479564,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,35638.75487258975,33462.83183631512,35974.63099325922,871.4383492075835,1
0.1066,302.14,4472000.0,Liquid,51298,9883.104108550287,-78.09768769702812,-33.992920954374796,-4.088408657963887 m^-2 kg^-1 s^2 mol K,-1.7534882513293042 m^-2 kg^-1 s^2 mol K,-19259.68422351369,-21319.326543604526,-11048.70540644973,-8989.063086358894,0.00010118278518738441,174.58881937054667,140.51589747601992,-0.4529768397220482,-33.27298974987033,-32.82001291014828,-18691.95947583684,-20995.93682077304,9745.196498963649,0.00010261465739622026,118.39816472326343,0.008446076865611375,-0.008343462208215155,-8.096685633063316e-08,1.873432793134001e-05,2.5721670874144604e-05,8.035014763058282e-06,1.3729700349226677,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,32110.984660981518,29680.356084034225,32192.487819483045,829.5617941616615,1
0.1326,302.15,50740000.0,Liquid,51298,10862.598292010105,-84.27561929900457,-39.389234223686955,-4.7374359634123735 m^-2 kg^-1 s^2 mol K,-2.031851264938275 m^-2 kg^-1 s^2 mol K,-20906.373801922673,-18747.514723815737,-6846.057603128722,-9004.916681235658,9.205900587666413e-05,166.97826153104884,143.38514292614965,-0.4530863485299199,-33.27141895526858,-32.81833260673866,-18691.350206534164,-20995.355559446234,9744.99955703786,0.00010261673119090065,118.43199380082356,0.008443664316601636,-0.008341047585410735,-6.490154191851616e-08,1.873491556751669e-05,2.572209652877571e-05,8.035266795870574e-06,1.3729496904364844,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,55927.8976373409,62100.82036068384,64613.03524075885,1137.7948170206312,1
0.1293,302.15,42610000.0,Liquid,51298,10731.467065583936,-83.4223524164483,-38.636948704687214,-4.646956812377734 m^-2 kg^-1 s^2 mol K,-1.9930454258936767 m^-2 kg^-1 s^2 mol K,-20700.981645994245,-19242.63036399703,-7568.476312875789,-9026.827594873004,9.318390429646131e-05,167.5146152674729,142.9651666541691,-0.4530863485299199,-33.27141895526858,-32.81833260673866,-18691.350206534164,-20995.355559446234,9744.99955703786,0.00010261673119090065,118.43199380082356,0.008443664316601636,-0.008341047585410735,-6.490154191851616e-08,1.873491556751669e-05,2.572209652877571e-05,8.035266795870574e-06,1.3729496904364844,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,53156.06091304731,56919.34251714337,59431.55739721838,1094.5756413000938,1
0.1371,302.17,59600000.0,Liquid,51298,10993.95832227973,-85.12934537369901,-40.15119591321606,-4.8290788902643715 m^-2 kg^-1 s^2 mol K,-2.07115623882815 m^-2 kg^-1 s^2 mol K,-21106.207794295864,-18197.429609287865,-6064.942740191372,-8973.720925199368,9.095904956938548e-05,166.55079690776992,143.82347260332435,-0.45330542321836736,-33.26827749025882,-32.81497206704045,-18690.131594477174,-20994.19293110549,9744.605649096678,0.00010262087928542286,118.4996745065318,0.008438841745045292,-0.008336220865759868,-2.176966518163681e-07,1.87360908182754e-05,2.5722947816907163e-05,8.035770852233372e-06,1.37290900574717,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,58395.06278328839,67580.3368519065,70092.71802123386,1181.7372130846625,1
0.1243,302.17,34160000.0,Liquid,51298,10581.963808307575,-82.45014276688852,-37.78956299320955,-4.54503973722876 m^-2 kg^-1 s^2 mol K,-1.9493339457471264 m^-2 kg^-1 s^2 mol K,-20460.10704766192,-19744.353948264805,-8325.481698606678,-9041.234798003788,9.450041770270757e-05,168.27284458384838,142.50594740026534,-0.45330542321836736,-33.26827749025882,-32.81497206704045,-18690.131594477174,-20994.19293110549,9744.605649096678,0.00010262087928542286,118.4996745065318,0.008438841745045292,-0.008336220865759868,-2.176966518163681e-07,1.87360908182754e-05,2.5722947816907163e-05,8.035770852233372e-06,1.37290900574717,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,49715.967730832504,51351.385066022376,53863.766235349736,1046.0799317177946,1
0.1186,302.2,23070000.0,Liquid,51298,10359.655764065148,-81.02362887702438,-36.55184898307787,-4.396176958360846 m^-2 kg^-1 s^2 mol K,-1.8854878003045334 m^-2 kg^-1 s^2 mol K,-20090.404402679967,-20376.12703467475,-9330.158271988621,-9044.435639993837,9.652830391032203e-05,169.72626730745523,141.8506073969609,-0.45363417796574584,-33.263565603091266,-32.80993142512552,-18688.303492689258,-20992.448724282844,9744.014726939564,0.00010262710269056455,118.60125196042254,0.008431614198589588,-0.008328987095899023,-6.402842700481415e-10,1.8737853640430946e-05,2.5724224696282668e-05,8.036526913624864e-06,1.3728479894184424,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,44245.863312055684,43706.908865590136,46219.53946879604,975.4336330434345,1
