thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.1368,448.0,24500000.0,Liquid,71483,11184.241622670523,-53.17375280167335,-48.08446588576381,-5.783231953052433 m^-2 kg^-1 s^2 mol K,-1.927936778028614 m^-2 kg^-1 s^2 mol K,-32192.705966085723,-33727.003074374916,-12185.162357552726,-10650.865249263532,8.941151610789544e-05,224.27664521193796,174.4342136764516,-1.4183432521516244,-44.46438594882469,-43.04604269667307,-29289.633190028304,-32447.246379899465,10515.417612760755,9.50984579810194e-05,307.0142600670569,0.0032571776952040722,-0.0031620792372230528,3.096647560596466e-07,3.4699471352891804e-05,4.1413995245700195e-05,1.1567647215685504e-05,1.1935050774843812,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1338999999999999,473.0,24500000.0,Liquid,71483,10718.82944927689,-40.822366499177775,-42.81119053229936,-5.1490027075024996 m^-2 kg^-1 s^2 mol K,-1.7165058864228089 m^-2 kg^-1 s^2 mol K,-29697.31092774421,-31344.354402410692,-11094.661280633101,-9447.617805966616,9.329376913142897e-05,230.6602010847159,175.0305004609243,-2.109613398358229,-38.40129521260315,-36.291681814244924,-25607.608788079247,-28622.42707817756,9860.442992636534,0.00010141532188226921,535.4930031072506,0.0018674380322383337,-0.0017660227103560645,2.2817403078079224e-08,3.635046221067483e-05,4.255383376335502e-05,1.2118032540145625e-05,1.170654543998026,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1724,298.0,49000000.0,Liquid,71483,13575.364627632467,-136.37165539468074,-87.94914045716224,-10.577850246766397 m^-2 kg^-1 s^2 mol K,-3.526302712526719 m^-2 kg^-1 s^2 mol K,-47009.93033481181,-45878.16071921713,-19669.316862982778,-20801.08647857746,7.366284644498711e-05,174.46422828194184,149.0323617043208,-0.045483622500677896,-84.8116911030908,-84.76620748059011,-46030.945327759124,-48504.46654346969,13098.577508416816,7.63441678577254e-05,1.1040221876346807,0.9057788975622458,-0.9057025533943881,4.969842848367989e-08,2.3936694173753337e-05,3.3776625167719604e-05,7.97969602752053e-06,1.4110814518721546,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1679,323.0,49000000.0,Liquid,71483,13283.43316458595,-121.95288635482315,-80.8761430298196,-9.727164188968755 m^-2 kg^-1 s^2 mol K,-3.2427123342230075 m^-2 kg^-1 s^2 mol K,-44837.6395605879,-43834.40558535282,-17711.411386721094,-18714.645361956173,7.528174287548128e-05,183.52754970495002,156.529851760878,-0.10251856198172216,-77.51003242989607,-77.40751386791435,-43666.94468867502,-46338.74977524489,12753.620157817651,7.840910954110743e-05,4.521513590374978,0.22116487764820986,-0.22108646853866876,6.182199285831302e-08,2.584830422008281e-05,3.51648997363707e-05,8.616963103004571e-06,1.3604335292931662,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1633,348.0,49000000.0,Liquid,71483,12985.586737214153,-107.95797416911067,-74.13420402333831,-8.916295307104834 m^-2 kg^-1 s^2 mol K,-2.9723956752691385 m^-2 kg^-1 s^2 mol K,-42597.7480862789,-41717.76667636838,-15919.063676246657,-16799.04508615717,7.700845716383346e-05,191.89530411136937,162.71060531869193,-0.20125628426882075,-70.44308686730513,-70.2418305830363,-41157.14474550812,-44013.14605179043,12388.320579046502,8.072119167560059e-05,14.314412655855282,0.06985965991353142,-0.06977893872185582,2.601445885375142e-07,2.7706108354598282e-05,3.6500410123961335e-05,9.236293080840846e-06,1.3174138228584347,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1589,373.0,49000000.0,Liquid,71483,12677.461947522897,-94.38174665128551,-67.73534843897473,-8.146689876395127 m^-2 kg^-1 s^2 mol K,-2.7158348756192714 m^-2 kg^-1 s^2 mol K,-40311.39871752908,-39547.56631076721,-14282.281343029626,-15046.113749791504,7.88801421088386e-05,199.4274847427319,167.55374038401558,-0.3579518244785816,-63.612854101342414,-63.25490227686383,-38491.21545689393,-41505.46968027506,11993.565097210265,8.337804413406675e-05,37.21341298564169,0.026872031339502157,-0.02678865329536809,1.8470745999366045e-07,2.9516143785727116e-05,3.778875103738881e-05,9.839698565098882e-06,1.280273985372778,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1551,398.0,49000000.0,Liquid,71483,12355.684621134269,-81.22609156503488,-61.69564824648034,-7.4202809104918215 m^-2 kg^-1 s^2 mol K,-2.4736743375977004 m^-2 kg^-1 s^2 mol K,-38002.080694144446,-37345.450904461584,-12790.582902362414,-13447.212692045267,8.09344063613853e-05,206.0748621980661,171.14236348645656,-0.5930255981705542,-57.01842811461538,-56.42540251644483,-35650.594206125126,-38781.38223500115,11559.140484237176,8.651162267330063e-05,83.28182275471482,0.01200742211112793,-0.011920910488454629,5.593756213784218e-08,3.128337838876358e-05,3.9034593256675914e-05,1.042883567982251e-05,1.247774226031049,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1515,423.0,49000000.0,Liquid,71483,12017.744184945552,-68.49344097319768,-56.0294234877706,-6.738790714560399 m^-2 kg^-1 s^2 mol K,-2.2464882203421674 m^-2 kg^-1 s^2 mol K,-35693.714648764406,-35133.42803970297,-11432.981904376004,-11993.268513437442,8.321029176612738e-05,211.85398987700853,173.6406062534189,-0.9335657884923754,-50.64692585946863,-49.71336007097626,-32602.531057564418,-35788.85143477755,11072.333274347,9.031520052930992e-05,166.57385993809885,0.006003342903692175,-0.005913027703162865,-3.3492688089609146e-07,3.30106927277765e-05,4.024188410676746e-05,1.1004664709063074e-05,1.2190560324990198,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1482,448.0,49000000.0,Liquid,71483,11661.948388415969,-56.18357738125035,-50.74653409538458,-6.103405165907897 m^-2 kg^-1 s^2 mol K,-2.0346718558215477 m^-2 kg^-1 s^2 mol K,-33409.35384990663,-32932.53383544477,-10198.08656071247,-10674.906575174335,8.574896464070434e-05,216.82233511070325,175.26894797989013,-1.4183432521516244,-44.46438594882469,-43.04604269667307,-29289.633190028304,-32447.246379899465,10515.417612760755,9.50984579810194e-05,307.0142600670569,0.0032571776952040722,-0.0031620792372230528,3.096647560596466e-07,3.4699471352891804e-05,4.1413995245700195e-05,1.1567647215685504e-05,1.1935050774843812,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1452,473.0,49000000.0,Liquid,71483,11287.467656426776,-44.29261789695206,-45.85165823812205,-5.514686918913149 m^-2 kg^-1 s^2 mol K,-1.8384128142524752 m^-2 kg^-1 s^2 mol K,-31170.459567014448,-30762.102674959184,-9074.26832832745,-9482.625220382717,8.859383082534259e-05,221.05510147973072,176.2801959781083,-2.109613398358229,-38.40129521260315,-36.291681814244924,-25607.608788079247,-28622.42707817756,9860.442992636534,0.00010141532188226921,535.4930031072506,0.0018674380322383337,-0.0017660227103560645,2.2817403078079224e-08,3.635046221067483e-05,4.255383376335502e-05,1.2118032540145625e-05,1.170654543998026,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
