viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.0021019999999999,298.18,9220000.0,Liquid,33251,13195.924459255602,-133.53843168928938,-85.4036076172146,-10.271693017267296 m^-2 kg^-1 s^2 mol K,-3.4242400964320754 m^-2 kg^-1 s^2 mol K,-46240.7099247727,-48021.215813809744,-22555.568094508693,-20775.062205471648,7.578097336701571e-05,-0.04577866469838563,-84.75827403085749,-84.7124953661591,-46014.429139919586,-48489.407704747224,13096.14550260354,7.63583452704613e-05,1.1165078496108547,0.8956497711579349,-0.8955734128126644,6.041186679794919e-07,2.3950660897256876e-05,3.378682462194424e-05,7.984352067625721e-06,1.4106844385999353,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.0022519999999999,298.18,18340000.0,Liquid,33251,13289.454421306475,-134.20722487039754,-86.013677484657,-10.345067556965196 m^-2 kg^-1 s^2 mol K,-3.4487007223939714 m^-2 kg^-1 s^2 mol K,-46432.807940041486,-47531.972799211304,-21884.414446836283,-20785.249587666465,7.524763382285568e-05,-0.04577866469838563,-84.75827403085749,-84.7124953661591,-46014.429139919586,-48489.407704747224,13096.14550260354,7.63583452704613e-05,1.1165078496108547,0.8956497711579349,-0.8955734128126644,6.041186679794919e-07,2.3950660897256876e-05,3.378682462194424e-05,7.984352067625721e-06,1.4106844385999353,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.002405,298.18,27460000.0,Liquid,33251,13378.432990289642,-134.84785642063528,-86.59882569498555,-10.41544471027045 m^-2 kg^-1 s^2 mol K,-3.472162119635447 m^-2 kg^-1 s^2 mol K,-46612.394202390504,-47039.043388054895,-21217.00554232411,-20790.356356659722,7.47471696218699e-05,-0.04577866469838563,-84.75827403085749,-84.7124953661591,-46014.429139919586,-48489.407704747224,13096.14550260354,7.63583452704613e-05,1.1165078496108547,0.8956497711579349,-0.8955734128126644,6.041186679794919e-07,2.3950660897256876e-05,3.378682462194424e-05,7.984352067625721e-06,1.4106844385999353,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.0020499999999999,298.18,6080000.0,Liquid,33251,13162.561658387207,-133.30098230856686,-85.18720602410438,-10.245665888028933 m^-2 kg^-1 s^2 mol K,-3.415563519028214 m^-2 kg^-1 s^2 mol K,-46171.375484608565,-48188.665783303615,-22787.544691036168,-20770.254392341118,7.597305341873162e-05,-0.04577866469838563,-84.75827403085749,-84.7124953661591,-46014.429139919586,-48489.407704747224,13096.14550260354,7.63583452704613e-05,1.1165078496108547,0.8956497711579349,-0.8955734128126644,6.041186679794919e-07,2.3950660897256876e-05,3.378682462194424e-05,7.984352067625721e-06,1.4106844385999353,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.002003,298.18,3140000.0,Liquid,33251,13130.744440805714,-133.07506875467473,-84.98141494505981,-10.220914910305458 m^-2 kg^-1 s^2 mol K,-3.407312368005287 m^-2 kg^-1 s^2 mol K,-46104.86020946649,-48344.933239640945,-23005.174931323007,-20765.10190114855,7.615714436512475e-05,-0.04577866469838563,-84.75827403085749,-84.7124953661591,-46014.429139919586,-48489.407704747224,13096.14550260354,7.63583452704613e-05,1.1165078496108547,0.8956497711579349,-0.8955734128126644,6.041186679794919e-07,2.3950660897256876e-05,3.378682462194424e-05,7.984352067625721e-06,1.4106844385999353,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.002303,298.18,21380000.0,Liquid,33251,13319.592721074108,-134.4237300886191,-86.21134821605108,-10.368841881352981 m^-2 kg^-1 s^2 mol K,-3.4566262897466355 m^-2 kg^-1 s^2 mol K,-46493.98494332896,-47368.03722171435,-21661.537410652232,-20787.485132266836,7.507737067799463e-05,-0.04577866469838563,-84.75827403085749,-84.7124953661591,-46014.429139919586,-48489.407704747224,13096.14550260354,7.63583452704613e-05,1.1165078496108547,0.8956497711579349,-0.8955734128126644,6.041186679794919e-07,2.3950660897256876e-05,3.378682462194424e-05,7.984352067625721e-06,1.4106844385999353,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.002352,298.19,24320000.0,Liquid,33251,13348.153780336943,-134.62437053038175,-86.39706710313959,-10.391178729279032 m^-2 kg^-1 s^2 mol K,-3.464072650358047 m^-2 kg^-1 s^2 mol K,-46551.0041437787,-47208.31893797373,-21445.577498488536,-20788.262704293513,7.491672754572935e-05,-0.045795098586697,-84.75530678020695,-84.70951168162026,-46013.511362353405,-48488.57088171402,13096.010373661147,7.635913316098252e-05,1.1172050556461717,0.8950908295179686,-0.8950144703848076,4.9371010391041636e-08,2.3951436739189574e-05,3.378739116801291e-05,7.984610707467271e-06,1.4106623972469114,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001116,323.11,100000.0,Liquid,33251,12753.174455709548,-118.19208634573847,-77.48534519061994,-9.319344947374425 m^-2 kg^-1 s^2 mol K,-3.1067589916906444 m^-2 kg^-1 s^2 mol K,-43704.81679777157,-46383.46162934224,-21347.171744801028,-18668.526913230366,7.841184980828862e-05,-0.10285089337124344,-77.4784235799862,-77.37557268661496,-43656.22650995619,-46328.880071442974,12752.063895331388,7.841867859257718e-05,4.546834056347741,0.21993325193030097,-0.2198548332517084,2.9633156373165548e-08,2.5856592261700862e-05,3.517088705788208e-05,8.619726059839606e-06,1.3602290163339767,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001381,323.17,27860000.0,Liquid,33251,13071.587174540226,-120.37522961697681,-79.48051546401732,-9.559308774867167 m^-2 kg^-1 s^2 mol K,-3.186754933782434 m^-2 kg^-1 s^2 mol K,-44390.11803752838,-44945.76266238754,-19260.044479881068,-18704.399855021904,7.650180400033737e-05,-0.1030325040071301,-77.46118429859419,-77.35815179458706,-43650.37904318529,-46323.49529684456,12751.214858743917,7.842390008151012e-05,4.56069541863008,0.21926480683517674,-0.21918638293509524,-5.483743734657764e-07,2.5861112570853943e-05,3.517415244005309e-05,8.62123298024934e-06,1.3601175256355813,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001346,323.18,24320000.0,Liquid,33251,13033.838017760569,-120.10597561871803,-79.23815193851503,-9.530159142878551 m^-2 kg^-1 s^2 mol K,-3.177037418034654 m^-2 kg^-1 s^2 mol K,-44309.80012325372,-45130.95575041858,-19522.7698069293,-18701.61417976444,7.672337178330353e-05,-0.10306279572869803,-77.4583112160722,-77.3552484203435,-43649.40438388714,-46322.59774518649,12751.07334123235,7.84247704674682e-05,4.56300909765627,0.21915362836195898,-0.21907520359149152,7.541457307524979e-07,2.5861865925468494e-05,3.517469664094336e-05,8.621484123568522e-06,1.36009894809267,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001171,323.18,6080000.0,Liquid,33251,12826.135412183598,-118.66156820621924,-77.92730790270024,-9.372500843597393 m^-2 kg^-1 s^2 mol K,-3.1244793958053787 m^-2 kg^-1 s^2 mol K,-43861.595972756084,-46074.6318942312,-20890.084526236536,-18677.048604761425,7.796580714796571e-05,-0.10306279572869803,-77.4583112160722,-77.3552484203435,-43649.40438388714,-46322.59774518649,12751.07334123235,7.84247704674682e-05,4.56300909765627,0.21915362836195898,-0.21907520359149152,7.541457307524979e-07,2.5861865925468494e-05,3.517469664094336e-05,8.621484123568522e-06,1.36009894809267,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001288,323.2,18240000.0,Liquid,33251,12967.046313851155,-119.62990936981188,-78.81049167617006,-9.47872343596813 m^-2 kg^-1 s^2 mol K,-3.1598904677028137 m^-2 kg^-1 s^2 mol K,-44166.17903665931,-45446.77073489091,-19975.219825152744,-18694.62812692115,7.71185646905432e-05,-0.10312339913648877,-77.4525651633515,-77.349441764215,-43647.45499542689,-46320.802565382306,12750.790296420984,7.84265113575501e-05,4.567639417528883,0.21893146734884017,-0.2188530408374826,-5.419824447017163e-07,2.5863372608777376e-05,3.517578501746608e-05,8.621986401565948e-06,1.3600617966400987,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001259,323.2,15300000.0,Liquid,33251,12933.949430537177,-119.39948070006342,-78.60131183805596,-9.45356488421069 m^-2 kg^-1 s^2 mol K,-3.151503445081405 m^-2 kg^-1 s^2 mol K,-44095.01272019031,-45599.31369831997,-20195.36971226028,-18691.068734130615,7.731590457892084e-05,-0.10312339913648877,-77.4525651633515,-77.349441764215,-43647.45499542689,-46320.802565382306,12750.790296420984,7.84265113575501e-05,4.567639417528883,0.21893146734884017,-0.2188530408374826,-5.419824447017163e-07,2.5863372608777376e-05,3.517578501746608e-05,8.621986401565948e-06,1.3600617966400987,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
