,viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
17,0.0005421,323.15,10440000.0,L,2586,5482.780603671721,-86.17937300953736,-67.6603908731915,-8.137674553430108 m^-2 kg^-1 s^2 mol K,-1.9341324216934073 m^-2 kg^-1 s^2 mol K,-42576.02713221581,-43358.70241849031,-21494.247107818475,-20711.571821543977,0.00018238920582200894,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
18,0.0005719,323.15,15600000.0,L,2586,5525.824895995182,-87.11872393877098,-68.53472139936852,-8.242832344899165 m^-2 kg^-1 s^2 mol K,-1.959125937044577 m^-2 kg^-1 s^2 mol K,-42861.124456828926,-42724.83513702776,-20577.839916821828,-20714.12923662299,0.0001809684560806018,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
19,0.0006018,323.15,20470000.0,L,2586,5564.347593524897,-87.96585423240788,-69.3240894143605,-8.337771495057652 m^-2 kg^-1 s^2 mol K,-1.9816907234837384 m^-2 kg^-1 s^2 mol K,-43112.311432135364,-42120.35193938479,-19718.272445134196,-20710.231937884768,0.00017971558807068,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
20,0.0006302,323.15,25640000.0,L,2586,5603.274289554077,-88.82821797093968,-70.12848989568786,-8.434518635344396 m^-2 kg^-1 s^2 mol K,-2.0046852263366253 m^-2 kg^-1 s^2 mol K,-43362.23381100012,-41473.15647895548,-18811.134969163948,-20700.21230120859,0.00017846707984013087,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
21,0.000646,323.15,28070000.0,L,2586,5620.935148636436,-89.2216163522926,-70.49572328526382,-8.47868665995902 m^-2 kg^-1 s^2 mol K,-2.015182919239973 m^-2 kg^-1 s^2 mol K,-43474.30503506575,-41167.292664680324,-18386.599685047324,-20693.61205543275,0.00017790634005848417,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
22,0.0007562,323.15,45850000.0,L,2586,5739.784472560422,-91.90527327106051,-73.00541159198524,-8.780532783031596 m^-2 kg^-1 s^2 mol K,-2.0869245905447125 m^-2 kg^-1 s^2 mol K,-44206.3813841606,-38905.09516113694,-15313.396405186904,-20614.68262821057,0.00017422256964187311,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
23,0.0007885,323.15,50970000.0,L,2586,5771.132506411741,-92.62406503469109,-73.6789171806844,-8.86153688631888 m^-2 kg^-1 s^2 mol K,-2.1061773465291727 m^-2 kg^-1 s^2 mol K,-44392.86493234732,-38247.79482213248,-14438.452735194314,-20583.52284540916,0.000173276215524249,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
24,0.0008176,323.15,55430000.0,L,2586,5797.551570077278,-93.23353709597076,-74.25041418833541,-8.93027217732894 m^-2 kg^-1 s^2 mol K,-2.122514096541011 m^-2 kg^-1 s^2 mol K,-44547.82015785816,-37673.70611954395,-13679.684774583371,-20553.798812897578,0.00017248660713278842,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
25,0.0008541,323.15,60900000.0,L,2586,5828.913304702627,-93.96152247405635,-74.93354386773154,-9.012433792669494 m^-2 kg^-1 s^2 mol K,-2.1420419657136467 m^-2 kg^-1 s^2 mol K,-44729.10848172327,-36968.01048984602,-12753.235788988577,-20514.33378086582,0.00017155856464587044,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
26,0.0008861,323.15,65710000.0,L,2586,5855.613888336012,-94.58523275734657,-75.51925494279531,-9.08287864304202 m^-2 kg^-1 s^2 mol K,-2.1587850374784683 m^-2 kg^-1 s^2 mol K,-44881.15052171601,-36346.25927506123,-11942.212040296923,-20477.103286951704,0.00017077628734912535,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
27,0.0009085,323.15,69000000.0,L,2586,5873.435160107215,-95.00357348716203,-75.91232944491172,-9.130154639118809 m^-2 kg^-1 s^2 mol K,-2.1700214215559592 m^-2 kg^-1 s^2 mol K,-44981.43947712021,-35920.44812466,-11389.378864536775,-20450.370216996987,0.00017025811518139682,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
28,0.0007109,293.21,1993000.0,L,42906,5585.568124639266,-119.05988344514557,-73.58007927042308,-8.849649418084251 m^-2 kg^-1 s^2 mol K,-2.1033519769996483 m^-2 kg^-1 s^2 mol K,-44424.33625149548,-46505.40743002011,-24930.99238713935,-22849.921208614724,0.00017903281773411065,-0.0034935755078872913,-73.21680661856463,-73.21331304305674,-44308.70259203509,-46745.14979939812,5568.949540488138,0.00017956707862580964,0.1748231123302143,5.720067482331237,-5.719887915252611,5.558723614740302e-08,2.4088733859989067e-05,3.501995336197862e-05,5.725321263494147e-06,1.4537897078993474,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
29,0.0007266,293.21,3991000.0,L,42906,5601.872984847545,-119.44191041326656,-73.93787080430059,-8.892681848478048 m^-2 kg^-1 s^2 mol K,-2.1135797660642557 m^-2 kg^-1 s^2 mol K,-44534.79363177454,-46260.236928518876,-24580.913829989902,-22855.470533245563,0.00017851172325843354,-0.0034935755078872913,-73.21680661856463,-73.21331304305674,-44308.70259203509,-46745.14979939812,5568.949540488138,0.00017956707862580964,0.1748231123302143,5.720067482331237,-5.719887915252611,5.558723614740302e-08,2.4088733859989067e-05,3.501995336197862e-05,5.725321263494147e-06,1.4537897078993474,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
30,0.0007426,293.21,5993000.0,L,42906,5617.868603037628,-119.81796219352594,-74.29021525430477,-8.935059145266285 m^-2 kg^-1 s^2 mol K,-2.123651845394008 m^-2 kg^-1 s^2 mol K,-44642.52073123414,-46013.62963217188,-24230.995617457167,-22859.88671651943,0.00017800345124827086,-0.0034935755078872913,-73.21680661856463,-73.21331304305674,-44308.70259203509,-46745.14979939812,5568.949540488138,0.00017956707862580964,0.1748231123302143,5.720067482331237,-5.719887915252611,5.558723614740302e-08,2.4088733859989067e-05,3.501995336197862e-05,5.725321263494147e-06,1.4537897078993474,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
31,0.0007587000000000001,293.21,7996000.0,L,42906,5633.546944372547,-120.18778970063586,-74.63687108727879,-8.97675225868737 m^-2 kg^-1 s^2 mol K,-2.133561310548899 m^-2 kg^-1 s^2 mol K,-44747.49498783146,-45766.02410874776,-23881.747137246755,-22863.218016330455,0.00017750806195001505,-0.0034935755078872913,-73.21680661856463,-73.21331304305674,-44308.70259203509,-46745.14979939812,5568.949540488138,0.00017956707862580964,0.1748231123302143,5.720067482331237,-5.719887915252611,5.558723614740302e-08,2.4088733859989067e-05,3.501995336197862e-05,5.725321263494147e-06,1.4537897078993474,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
32,0.0007750000000000001,293.21,10001000.0,L,42906,5648.931018035148,-120.55187736332834,-74.97828458476032,-9.017814864072845 m^-2 kg^-1 s^2 mol K,-2.1433209188834166 m^-2 kg^-1 s^2 mol K,-44849.901119900605,-45517.36124385971,-23532.97842076214,-22865.51829680303,0.00017702464356660302,-0.0034935755078872913,-73.21680661856463,-73.21331304305674,-44308.70259203509,-46745.14979939812,5568.949540488138,0.00017956707862580964,0.1748231123302143,5.720067482331237,-5.719887915252611,5.558723614740302e-08,2.4088733859989067e-05,3.501995336197862e-05,5.725321263494147e-06,1.4537897078993474,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
33,0.0008,293.21,13001000.0,L,42906,5671.40223637297,-121.08585934256587,-75.47925757988831,-9.078068066009697 m^-2 kg^-1 s^2 mol K,-2.1576416773030056 m^-2 kg^-1 s^2 mol K,-44998.40946980468,-45143.91465131805,-23012.641536318995,-22867.136354805632,0.00017632323688603855,-0.0034935755078872913,-73.21680661856463,-73.21331304305674,-44308.70259203509,-46745.14979939812,5568.949540488138,0.00017956707862580964,0.1748231123302143,5.720067482331237,-5.719887915252611,5.558723614740302e-08,2.4088733859989067e-05,3.501995336197862e-05,5.725321263494147e-06,1.4537897078993474,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
34,0.0008254,293.22,16000000.0,L,42906,5693.193873737685,-121.59565757609293,-75.96627376681171,-9.136642649754902 m^-2 kg^-1 s^2 mol K,-2.1715634679527733 m^-2 kg^-1 s^2 mol K,-45140.77878756527,-44768.37222602877,-22493.54143212424,-22865.94799366074,0.00017564833065196177,-0.003495558743505145,-73.21410887512147,-73.21061331637796,-44307.88346030225,-46744.41295235042,5568.888577163373,0.00017956904436923935,0.17493162669103215,5.7165191847568,-5.716339615712431,1.2342104582785396e-07,2.4089542847346748e-05,3.5020550538998104e-05,5.725513540620365e-06,1.4537656758752195,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
